post_id,publish_at,cover_title,cover_subtitle,cover_background,slide_number,middle_heading,middle_body,middle_illustration,middle_alt,middle_background,cta_key,closing_background
contract-mistakes,2026-08-25 10:30,"5 Contract Mistakes\nFounders Should Avoid","",bg-paper,1,"Using the wrong\nentity name","The agreement should identify the exact legal entity entering into the contract.",document.svg,"Contract document illustration",bg-cream,contracts,bg-paper
contract-mistakes,2026-08-25 10:30,"5 Contract Mistakes\nFounders Should Avoid","",bg-paper,2,"Ignoring\ntermination rights","The agreement should explain when each party may leave and what happens afterward.",documents.svg,"Document review illustration",bg-paper,contracts,bg-paper
contract-mistakes,2026-08-25 10:30,"5 Contract Mistakes\nFounders Should Avoid","",bg-paper,3,"Accepting\nunlimited liability","Review indemnity obligations, damages exclusions, and liability caps before signing.",abstract-scale.svg,"Legal risk illustration",bg-cream,contracts,bg-paper
team-taylor-alexander,2026-08-01 10:30,"Meet Taylor Alexander","Vest Counsel Intake Specialist",bg-paper,1,"Taylor Alexander","Intake Specialist\n\nUniversity of Southern California\n\nB.A. in Real Estate Development","assets/photos/Tayor Trautloff Bio Photo.png","Portrait of Taylor Alexander, Vest Counsel Intake Specialist",bg-cream,general,bg-paper
